y_keV_per_um,f_y,yf_y,d_y,yd_y
0.0252028,7.91213e-05,1.99408e-06,3.22769e-06,8.13468e-08
0.0252895,7.93215e-05,2.006e-06,3.24699e-06,8.21147e-08
0.0253766,8.23003e-05,2.0885e-06,3.38053e-06,8.57863e-08
0.0254639,8.11574e-05,2.06658e-06,3.34505e-06,8.5178e-08
0.0255516,8.37575e-05,2.14014e-06,3.46411e-06,8.85135e-08
0.0256396,8.02924e-05,2.05866e-06,3.33223e-06,8.54371e-08
0.0257278,7.98882e-05,2.05535e-06,3.32687e-06,8.55929e-08
0.0258164,8.59826e-05,2.21976e-06,3.59299e-06,9.27581e-08
0.0259052,8.70819e-05,2.25587e-06,3.65144e-06,9.45914e-08
0.0259944,8.14859e-05,2.11818e-06,3.42856e-06,8.91234e-08
0.0260839,8.81034e-05,2.29808e-06,3.71976e-06,9.70258e-08
0.0261737,8.41159e-05,2.20163e-06,3.56363e-06,9.32735e-08
0.0262638,8.71335e-05,2.28846e-06,3.70418e-06,9.7286e-08
0.0263542,8.77456e-05,2.31246e-06,3.74304e-06,9.86449e-08
0.0264449,8.75421e-05,2.31504e-06,3.74721e-06,9.90947e-08
0.0265359,8.90517e-05,2.36307e-06,3.82495e-06,1.01498e-07
0.0266273,9.32786e-05,2.48376e-06,4.0203e-06,1.0705e-07
0.0267189,9.26454e-05,2.47538e-06,4.00675e-06,1.07056e-07
0.0268109,9.19815e-05,2.46611e-06,3.99173e-06,1.07022e-07
0.0269032,9.1805e-05,2.46985e-06,3.99779e-06,1.07553e-07
0.0269958,9.53851e-05,2.575e-06,4.16799e-06,1.12518e-07
0.0270887,9.20566e-05,2.49369e-06,4.03639e-06,1.0934e-07
0.027182,9.59822e-05,2.60899e-06,4.22301e-06,1.1479e-07
0.0272755,0.000100192,2.73279e-06,4.4234e-06,1.2065e-07
0.0273694,9.80637e-05,2.68395e-06,4.34434e-06,1.18902e-07
0.0274636,9.77415e-05,2.68433e-06,4.34497e-06,1.19328e-07
0.0275582,9.8923e-05,2.72614e-06,4.41263e-06,1.21604e-07
0.027653,0.000101477,2.80614e-06,4.54213e-06,1.25603e-07
0.0277482,9.75794e-05,2.70765e-06,4.38271e-06,1.21612e-07
0.0278437,0.000102948,2.86647e-06,4.63977e-06,1.29188e-07
0.0279396,9.7685e-05,2.72928e-06,4.41772e-06,1.23429e-07
0.0280357,0.000102448,2.87221e-06,4.64907e-06,1.3034e-07
0.0281323,0.000101033,2.8423e-06,4.60065e-06,1.29427e-07
0.0282291,0.000104392,2.94688e-06,4.76994e-06,1.34651e-07
0.0283263,0.000104102,2.94883e-06,4.7731e-06,1.35204e-07
0.0284238,0.000129464,3.67985e-06,5.95635e-06,1.69302e-07
0.0285216,0.00010013,2.85588e-06,4.62264e-06,1.31845e-07
0.0286198,0.000105678,3.02448e-06,4.89554e-06,1.4011e-07
0.0287183,0.000105111,3.01861e-06,4.88604e-06,1.40319e-07
0.0288172,0.000106472,3.06822e-06,4.96633e-06,1.43116e-07
0.0289164,0.000103781,3.00098e-06,4.85751e-06,1.40462e-07
0.0290159,0.000104756,3.03959e-06,4.91999e-06,1.42758e-07
0.0291158,0.000110481,3.21673e-06,5.20672e-06,1.51598e-07
0.029216,0.00010454,3.05424e-06,4.94371e-06,1.44435e-07
0.0293166,0.000108312,3.17533e-06,5.13971e-06,1.50679e-07
0.0294175,0.000110132,3.2398e-06,5.24407e-06,1.54267e-07
0.0295187,0.00010994,3.2453e-06,5.25296e-06,1.55061e-07
0.0296203,0.00010689,3.16612e-06,5.1248e-06,1.51798e-07
0.0297223,0.000112507,3.34397e-06,5.41267e-06,1.60877e-07
0.0298246,0.000112326,3.35009e-06,5.42258e-06,1.61726e-07
0.0299273,0.000111325,3.33166e-06,5.39275e-06,1.61391e-07
0.0300303,0.000109325,3.28306e-06,5.31409e-06,1.59584e-07
